0,1,Seasons,Team,City,Owner,Home ground,Founded,Captain,Coach,"('Season', 'Season')","('No. of teams', 'No. of teams')","('Final', 'Winner')","('Final', 'Winning margin')","('Final', 'Runner-up')","('Venue', 'Venue')","('Player of the Tournament', 'Player of the Tournament')","('Season (No. of teams)', 'Hosts(s)Teams')","('2016 (5)', 'UAE')","('2017 (5)', 'UAE Pakistan')","('2018 (6)', 'UAE Pakistan')","('2019 (6)', 'UAE Pakistan')","('2020 (6)', 'Pakistan')","('2021 (6)', 'Pakistan UAE')","('2022 (6)', 'Pakistan')","('2023 (6)', 'Pakistan')","('2024  (6)', 'Pakistan')","('2025  (6)', 'Pakistan')",Title(s),Runner-up,Seasons won,Seasons runner-up,Title sponsor,Period,Sponsorship cost (per year),Ref.,Territory,Years,Channels and streaming services,vtePakistan Super League,vtePakistan Super League.1,vtePakistan Super League.2,vte Cricket in Pakistan,vte Cricket in Pakistan.1,vteTwenty20 cricket competitions,vteTwenty20 cricket competitions.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrator,Pakistan Cricket Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headquarters,Gaddafi Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format,Twenty20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First edition,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latest edition,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tournament format,Double round-robin and Playoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of teams,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current champion,Lahore Qalandars (3rd title),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most successful,Islamabad United Lahore Qalandars (3 titles each),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most runs,"Babar Azam (3,792)[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most wickets,Hasan Ali (125)[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,Pakistan PTV Sports A Sports Ten Sports International List of broadcasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website,psl-t20.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East,2024,STARZPLAY e-visionCricbuzz (OTT)[75],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nepal,2024,Action Sports HD[76] Tapmad (OTT)[77],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,2024,Sky Sports NZ[78],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Africa,2024,STARZPLAY e-visionCricbuzz (OTT)[79],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,2024,Willow[80],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russia,2024,LiveSportsCentral (Facebook) Sports Central (You Tube),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania,2024,LiveSportsCentral (Facebook) Sports Central (You Tube),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South America,2024,LiveSportsCentral (Facebook) Sports Central (You Tube),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Asia,2024,LiveSportsCentral (Facebook) Sports Central (You Tube),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southeast Asia,2024,Cricbuzz (OTT)[81],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sri Lanka,2024,The Papare TV Dialog ViU (App)[82],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,2024,Geo News UK[83] Sky Sports UK[84],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worldwide rights,2024–2025,TransGroup International[85],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasons,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finals,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teams,Islamabad United Karachi Kings Lahore Qalandars Multan Sultans Peshawar Zalmi Quetta Gladiators,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drafts,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Statistics,Records and statistics Centuries Bowling,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lists,Captains Umpires Venues,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthems,"List of anthems ""Ab Khel Ke Dikha"" ""Ab Khel Jamay Ga"" ""Dil Se Jaan Laga De"" ""Khel Deewano Ka"" ""Tayyar Hain"" ""Groove Mera"" ""Agay Dekh"" ""Sab Sitaray Humaray"" ""Khul Ke Khel"" ""X Dekho""",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Controversies,2017 spot-fixing scandal,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related topics,History Karachi Kings–Lahore Qalandars rivalry PSL Hamaray Heroes Award,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category  Commons  WikiProject,Category  Commons  WikiProject,Category  Commons  WikiProject,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pakistan Cricket Board (PCB),Pakistan Cricket Board (PCB),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National teams,Men Women Men's A Men's U-19 Women's U-19 Blind,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic teams,Regional teams Abbottabad Azad Jammu & Kashmir Bahawalpur Dera Murad Jamali Faisalabad Federally Administered Tribal Areas Hyderabad Islamabad Karachi Blues Karachi Whites Lahore Blues Lahore Whites Larkana Multan Peshawar Quetta Rawalpindi Sialkot Departmental teams Eshaal Associates Ghani Glass Higher Education Commission Khan Research Laboratories Pakistan Television State Bank of Pakistan Sui Northern Gas Pipelines Limited Sui Southern Gas Company Water and Power Development Authority Franchise teams Islamabad United Karachi Kings Lahore Qalandars Multan Sultans Peshawar Zalmi Quetta Gladiators Women PCB Blasters PCB Challengers PCB Dynamites PCB Strikers,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regional teams,Abbottabad Azad Jammu & Kashmir Bahawalpur Dera Murad Jamali Faisalabad Federally Administered Tribal Areas Hyderabad Islamabad Karachi Blues Karachi Whites Lahore Blues Lahore Whites Larkana Multan Peshawar Quetta Rawalpindi Sialkot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Departmental teams,Eshaal Associates Ghani Glass Higher Education Commission Khan Research Laboratories Pakistan Television State Bank of Pakistan Sui Northern Gas Pipelines Limited Sui Southern Gas Company Water and Power Development Authority,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franchise teams,Islamabad United Karachi Kings Lahore Qalandars Multan Sultans Peshawar Zalmi Quetta Gladiators,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women,PCB Blasters PCB Challengers PCB Dynamites PCB Strikers,,
